LP001002,No,Graduate,No,Urban
LP001003,Yes,Graduate,No,Rural
LP001005,Yes,Graduate,Yes,Urban
LP001006,Yes,Not Graduate,No,Urban
LP001008,No,Graduate,No,Urban
LP001011,Yes,Graduate,Yes,Urban
LP001013,Yes,Not Graduate,No,Urban
LP001014,Yes,Graduate,No,Semiurban
LP001018,Yes,Graduate,No,Urban
LP001020,Yes,Graduate,No,Semiurban
LP001024,Yes,Graduate,No,Urban
LP001027,Yes,Graduate,No,Urban
LP001028,Yes,Graduate,No,Urban
LP001029,No,Graduate,No,Rural
LP001030,Yes,Graduate,No,Urban
LP001032,No,Graduate,No,Urban
LP001034,No,Not Graduate,No,Urban
LP001036,No,Graduate,No,Urban
LP001038,Yes,Not Graduate,No,Rural
LP001041,Yes,Graduate,No,Urban
LP001043,Yes,Not Graduate,No,Urban
LP001046,Yes,Graduate,No,Urban
LP001047,Yes,Not Graduate,No,Semiurban
LP001050,Yes,Not Graduate,No,Rural
LP001052,Yes,Graduate,No,Semiurban
LP001066,Yes,Graduate,Yes,Semiurban
LP001068,Yes,Graduate,No,Semiurban
LP001073,Yes,Not Graduate,No,Urban
LP001086,No,Not Graduate,No,Urban
LP001087,No,Graduate,No,Semiurban
LP001091,Yes,Graduate,No,Urban
LP001095,No,Graduate,No,Urban
LP001097,No,Graduate,Yes,Rural
LP001098,Yes,Graduate,No,Semiurban
LP001100,No,Graduate,No,Rural
LP001106,Yes,Graduate,No,Urban
LP001109,Yes,Graduate,No,Urban
LP001112,Yes,Graduate,No,Semiurban
LP001114,No,Graduate,No,Urban
LP001116,No,Not Graduate,No,Semiurban
LP001119,No,Graduate,No,Urban
LP001120,No,Graduate,No,Urban
LP001123,Yes,Graduate,No,Urban
LP001131,Yes,Graduate,No,Semiurban
LP001136,Yes,Not Graduate,Yes,Urban
LP001137,No,Graduate,No,Urban
LP001138,Yes,Graduate,No,Urban
LP001144,Yes,Graduate,No,Urban
LP001146,Yes,Graduate,No,Urban
LP001151,No,Graduate,No,Semiurban
LP001155,Yes,Not Graduate,No,Semiurban
LP001157,No,Graduate,No,Semiurban
LP001164,No,Graduate,No,Semiurban
LP001179,Yes,Graduate,No,Urban
LP001186,Yes,Graduate,Yes,Urban
LP001194,Yes,Graduate,No,Semiurban
LP001195,Yes,Graduate,No,Semiurban
LP001197,Yes,Graduate,No,Rural
LP001198,Yes,Graduate,No,Urban
LP001199,Yes,Not Graduate,No,Urban
LP001205,Yes,Graduate,No,Urban
LP001206,Yes,Graduate,No,Urban
LP001207,Yes,Not Graduate,Yes,Rural
LP001213,Yes,Graduate,No,Rural
LP001222,No,Graduate,No,Semiurban
LP001225,Yes,Graduate,No,Semiurban
LP001228,No,Not Graduate,No,Urban
LP001233,Yes,Graduate,No,Urban
LP001238,Yes,Not Graduate,Yes,Urban
LP001241,No,Graduate,No,Semiurban
LP001243,Yes,Graduate,No,Urban
LP001245,Yes,Not Graduate,Yes,Semiurban
LP001248,No,Graduate,No,Semiurban
LP001250,Yes,Not Graduate,No,Semiurban
LP001253,Yes,Graduate,Yes,Semiurban
LP001255,No,Graduate,No,Urban
LP001256,No,Graduate,No,Urban
LP001259,Yes,Graduate,Yes,Urban
LP001263,Yes,Graduate,No,Semiurban
LP001264,Yes,Not Graduate,Yes,Semiurban
LP001265,No,Graduate,No,Semiurban
LP001266,Yes,Graduate,Yes,Semiurban
LP001267,Yes,Graduate,No,Urban
LP001273,Yes,Graduate,No,Semiurban
LP001275,Yes,Graduate,No,Urban
LP001279,No,Graduate,No,Semiurban
LP001280,Yes,Not Graduate,No,Semiurban
LP001282,Yes,Graduate,No,Semiurban
LP001289,No,Graduate,No,Urban
LP001310,Yes,Graduate,No,Semiurban
LP001316,Yes,Graduate,No,Semiurban
LP001318,Yes,Graduate,No,Semiurban
LP001319,Yes,Not Graduate,No,Urban
LP001322,No,Graduate,No,Semiurban
LP001325,No,Not Graduate,No,Semiurban
LP001326,No,Graduate,No,Urban
LP001327,Yes,Graduate,No,Semiurban
LP001333,Yes,Graduate,No,Semiurban
LP001334,Yes,Not Graduate,No,Semiurban
LP001343,Yes,Graduate,No,Semiurban
LP001345,Yes,Not Graduate,No,Urban
LP001349,No,Graduate,No,Semiurban
LP001350,Yes,Graduate,No,Urban
LP001356,Yes,Graduate,No,Semiurban
LP001357,,Graduate,No,Urban
LP001367,Yes,Graduate,No,Urban
LP001369,Yes,Graduate,No,Urban
LP001370,No,Not Graduate,Yes,Rural
LP001379,Yes,Graduate,No,Urban
LP001384,Yes,Not Graduate,No,Semiurban
LP001385,No,Graduate,No,Urban
LP001387,Yes,Graduate,No,Semiurban
LP001391,Yes,Not Graduate,No,Rural
LP001392,No,Graduate,Yes,Semiurban
LP001398,No,Graduate,No,Semiurban
LP001401,Yes,Graduate,No,Rural
LP001404,Yes,Graduate,No,Semiurban
LP001405,Yes,Graduate,No,Urban
LP001421,Yes,Graduate,No,Rural
LP001422,No,Graduate,No,Urban
LP001426,Yes,Graduate,No,Rural
LP001430,No,Graduate,No,Semiurban
LP001431,No,Graduate,No,Semiurban
LP001432,Yes,Graduate,No,Semiurban
LP001439,Yes,Not Graduate,No,Rural
LP001443,No,Graduate,No,Rural
LP001448,Yes,Graduate,No,Rural
LP001449,No,Graduate,No,Rural
LP001451,Yes,Graduate,Yes,Urban
LP001465,Yes,Graduate,No,Rural
LP001469,No,Graduate,Yes,Urban
LP001473,No,Graduate,No,Urban
LP001478,No,Graduate,No,Semiurban
LP001482,Yes,Graduate,Yes,Semiurban
LP001487,No,Graduate,No,Semiurban
LP001488,Yes,Graduate,No,Semiurban
LP001489,Yes,Graduate,No,Rural
LP001491,Yes,Graduate,Yes,Urban
LP001492,No,Graduate,No,Semiurban
LP001493,Yes,Not Graduate,No,Rural
LP001497,Yes,Graduate,No,Rural
LP001498,No,Graduate,No,Urban
LP001504,No,Graduate,Yes,Semiurban
LP001507,Yes,Graduate,No,Semiurban
LP001508,Yes,Graduate,No,Urban
LP001514,Yes,Graduate,No,Semiurban
LP001516,Yes,Graduate,No,Urban
LP001518,Yes,Graduate,No,Urban
LP001519,No,Graduate,No,Rural
LP001520,Yes,Graduate,No,Semiurban
LP001528,No,Graduate,No,Rural
LP001529,Yes,Graduate,Yes,Rural
LP001531,No,Graduate,No,Urban
LP001532,Yes,Not Graduate,No,Rural
LP001535,No,Graduate,No,Urban
LP001536,Yes,Graduate,No,Semiurban
LP001541,Yes,Graduate,No,Rural
LP001543,Yes,Graduate,No,Urban
LP001546,No,Graduate,No,Rural
LP001552,Yes,Graduate,No,Semiurban
LP001560,Yes,Not Graduate,No,Semiurban
LP001562,Yes,Graduate,No,Urban
LP001565,Yes,Graduate,No,Semiurban
LP001570,Yes,Graduate,No,Rural
LP001572,Yes,Graduate,No,Urban
LP001574,Yes,Graduate,No,Rural
LP001577,Yes,Graduate,No,Rural
