LP001002,Male,5849,,360,Y
LP001003,Male,4583,128,360,N
LP001005,Male,3000,66,360,Y
LP001006,Male,2583,120,360,Y
LP001008,Male,6000,141,360,Y
LP001011,Male,5417,267,360,Y
LP001013,Male,2333,95,360,Y
LP001014,Male,3036,158,360,N
LP001018,Male,4006,168,360,Y
LP001020,Male,12841,349,360,N
LP001024,Male,3200,70,360,Y
LP001027,Male,2500,109,360,Y
LP001028,Male,3073,200,360,Y
LP001029,Male,1853,114,360,N
LP001030,Male,1299,17,120,Y
LP001032,Male,4950,125,360,Y
LP001034,Male,3596,100,240,Y
LP001036,Female,3510,76,360,N
LP001038,Male,4887,133,360,N
LP001041,Male,2600,115,,Y
LP001043,Male,7660,104,360,N
LP001046,Male,5955,315,360,Y
LP001047,Male,2600,116,360,N
LP001050,,3365,112,360,N
LP001052,Male,3717,151,360,N
LP001066,Male,9560,191,360,Y
LP001068,Male,2799,122,360,Y
LP001073,Male,4226,110,360,Y
LP001086,Male,1442,35,360,N
LP001087,Female,3750,120,360,Y
LP001091,Male,4166,201,360,N
LP001095,Male,3167,74,360,N
LP001097,Male,4692,106,360,N
LP001098,Male,3500,114,360,Y
LP001100,Male,12500,320,360,N
LP001106,Male,2275,,360,Y
LP001109,Male,1828,100,,N
LP001112,Female,3667,144,360,Y
LP001114,Male,4166,184,360,Y
LP001116,Male,3748,110,360,Y
LP001119,Male,3600,80,360,N
LP001120,Male,1800,47,360,Y
LP001123,Male,2400,75,360,Y
LP001131,Male,3941,134,360,Y
LP001136,Male,4695,96,,Y
LP001137,Female,3410,88,,Y
LP001138,Male,5649,44,360,Y
LP001144,Male,5821,144,360,Y
LP001146,Female,2645,120,360,N
LP001151,Female,4000,144,360,Y
LP001155,Female,1928,100,360,Y
LP001157,Female,3086,120,360,Y
LP001164,Female,4230,112,360,N
LP001179,Male,4616,134,360,N
LP001186,Female,11500,286,360,N
LP001194,Male,2708,97,360,Y
LP001195,Male,2132,96,360,Y
LP001197,Male,3366,135,360,N
LP001198,Male,8080,180,360,Y
LP001199,Male,3357,144,360,Y
LP001205,Male,2500,120,360,Y
LP001206,Male,3029,99,360,Y
LP001207,Male,2609,165,180,N
LP001213,Male,4945,,360,N
LP001222,Female,4166,116,360,N
LP001225,Male,5726,258,360,N
LP001228,Male,3200,126,180,N
LP001233,Male,10750,312,360,Y
LP001238,Male,7100,125,60,Y
LP001241,Female,4300,136,360,N
LP001243,Male,3208,172,360,Y
LP001245,Male,1875,97,360,Y
LP001248,Male,3500,81,300,Y
LP001250,Male,4755,95,,N
LP001253,Male,5266,187,360,Y
LP001255,Male,3750,113,480,N
LP001256,Male,3750,176,360,N
LP001259,Male,1000,110,360,N
LP001263,Male,3167,180,300,N
LP001264,Male,3333,130,360,Y
LP001265,Female,3846,111,360,Y
LP001266,Male,2395,,360,Y
LP001267,Female,1378,167,360,N
